2002-05,106.68
2002-06,243.84
2002-07,548.64
2002-08,576.58
2002-09,170.18
2002-10,185.42
2002-11,629.92
2002-12,147.32
2003-01,93.98
2003-02,99.06
2003-03,88.90
2003-04,172.72
2003-05,566.42
2003-06,205.74
2003-07,233.68
2003-08,256.54
2003-09,66.04
2003-10,109.22
2003-11,205.74
2003-12,467.36
2004-01,104.14
2004-02,152.40
2004-03,264.16
2004-04,378.46
2004-05,599.44
2004-06,347.98
2004-07,215.90
2004-08,274.32
2004-09,152.40
2004-10,132.08
2004-11,645.16
2004-12,543.56
2005-01,645.16
2005-02,104.14
2005-03,66.04
2005-04,279.40
2005-05,0.00
2005-06,171.20
2005-07,393.21
2005-08,343.15
2005-09,166.63
2005-10,241.04
2005-11,236.95
2005-12,142.98
2006-01,390.13
2006-02,137.92
2006-03,441.45
2006-04,178.55
2006-05,116.59
2006-06,179.05
2006-07,344.66
2006-08,378.42
2006-09,141.44
2006-10,220.47
2006-11,172.21
2006-12,320.79
2007-01,332.47
2007-02,29.20
2007-03,47.49
2007-04,190.49
2007-05,286.78
2007-06,245.34
2007-07,245.10
2007-08,213.61
2007-09,81.77
2007-10,123.94
2007-11,453.37
2007-12,585.99
2008-01,197.10
2008-02,154.66
2008-03,119.61
2008-04,158.22
2008-05,203.46
2008-06,144.02
2008-07,411.98
2008-08,236.69
2008-09,166.61
2008-10,156.71
2008-11,961.39
2008-12,222.53
2009-01,288.54
2009-02,654.03
2009-03,377.45
2009-04,215.37
2009-05,427.72
2009-06,86.09
2009-07,405.15
2009-08,330.71
2009-09,155.71
2009-10,311.90
2009-11,405.91
2009-12,190.24
2010-01,272.03
2010-02,148.33
2010-03,348.49
2010-04,254.50
2010-05,437.13
2010-06,191.27
2010-07,92.97
2010-08,237.73
2010-09,89.13
2010-10,111.48
2010-11,421.66
2010-12,358.90
2011-01,202.67
2011-02,419.88
2011-03,56.12
2011-04,215.39
2011-05,334.26
2011-06,125.20
2011-07,280.15
2011-08,71.61
2011-09,140.97
2011-10,211.58
2011-11,171.18
2011-12,442.45
2012-01,131.05
2012-02,126.21
2012-03,245.11
2012-04,49.02
2012-05,31.49
2012-06,190.48
2012-07,465.86
2012-08,113.78
2012-09,150.12
2012-10,169.14
2012-11,561.08
2012-12,286.77
2013-01,10.91
